codN3,codA3,lat,lon,name_en,name_es
4,AFG,33,65,Afghanistan,Afganistán
8,ALB,41,20,Albania,Albania
10,ATA,-90,0,Antarctica,Antártida
12,DZA,28,3,Algeria,Argelia
16,ASM,-14.3333333333333,-170,American Samoa,Samoa Americana
20,AND,42.5,1.5,Andorra,Andorra
24,AGO,-12.5,18.5,Angola,Angola
28,ATG,17.05,-61.8,Antigua and Barbuda,Antigua y Barbuda
31,AZE,40.5,47.5,Azerbaijan,Azerbaiyán
32,ARG,-34,-64,Argentina,Argentina
36,AUS,-27,133,Australia,Australia
40,AUT,47.3333333333333,13.3333333333333,Austria,Austria
44,BHS,24.25,-76,The Bahamas,Bahamas
48,BHR,26,50.55,Bahrain,Bahrein
50,BGD,24,90,Bangladesh,Bangladesh
51,ARM,40,45,Armenia,Armenia
52,BRB,13.1666666666667,-59.5333333333333,Barbados,Barbados
56,BEL,50.8333333333333,4,elgium,Bélgica
60,BMU,32.3333333333333,-64.75,Bermuda,Bermuda
64,BTN,27.5,90.5,Bhutan,Bhután
68,BOL,-17,-65,Bolivia,Bolivia
70,BIH,44,18,Bosnia and Herzegovina,Bosnia y Herzegovina
72,BWA,-22,24,Botswana,Botswana
74,BVT,-54.4333333333333,3.4,Bouvet Island,Isla Bouvet
76,BRA,-10,-55,Brazil,Brasil
84,BLZ,17.25,-88.75,Belize,Belice
90,SLB,-8,159,Solomon Islands,Islas Salomón
92,VGB,18.5,64.5,British Virgin Islands,Islas Vírgenes Británicas
96,BRN,4.5,114.666666666667,Brunei,Brunei Darussalam
100,BGR,43,25,Bulgaria,Bulgaria
104,MMR,22,98,Burma,Myanmar
108,BDI,-3.5,30,Burundi,Burundi
112,BLR,53,28,Belarus,Belarús
116,KHM,13,105,Cambodia,Camboya
120,CMR,6,12,Cameroon,Camerún
124,CAN,60,-95,Canada,Canadá
132,CPV,16,-24,Cape Verde,Cabo Verde
136,CYM,19.5,-80.5,Cayman Islands,Islas Caimán
140,CAF,7,21,Central African Republic,República Centroafricana
144,LKA,7,81,Sri Lanka,Sri Lanka
148,TCD,15,19,Chad,Chad
152,CHL,-30,-71,Chile,Chile
156,CHN,35,105,China,China
158,TWN,23.5,121,Taiwan,Provincia china de Taiwán
162,CXR,-10.5,105.666666666667,Christmas Island,Isla de Navidad
166,CCK,-12.5,96.8333333333333,Cocos (Keeling) Islands,Islas Cocos (Keeling)
170,COL,4,-72,Colombia,Colombia
174,COM,-12.1666666666667,44.25,Comoros,Comoras
175,MYT,-12.8431,45.1383,Mayotte,Mayotte
178,COG,-1,15,Congo (Brazzaville),Congo
180,COD,0,25,Democratic Republic of the Congo,República Democrática del Congo
184,COK,-21.2333333333333,-159.766666666667,Cook Islands,Islas Cook
188,CRI,10,-84,Costa Rica,Costa Rica
191,HRV,45.1666666666667,15.5,Croatia,Croacia
192,CUB,21.5,-80,Cuba,Cuba
196,CYP,35,33,Cyprus,Chipre
203,CZE,49.75,15.5,Czech Republic,República Checa
204,BEN,9.5,2.25,Benin,Benin
208,DNK,56,10,Denmark,Dinamarca
212,DMA,15.4166666666667,-61.3333333333333,Dominica,Dominica
214,DOM,19,-70.6666666666667,Dominican Republic,República Dominicana
218,ECU,-2,-77.5,Ecuador,Ecuador
222,SLV,13.8333333333333,-88.9166666666667,El Salvador,El Salvador
226,GNQ,2,10,Equatorial Guinea,Guinea Ecuatorial
